compound_name,canonical_smiles,BBclass
Unknown,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,BBB+
Unknown,C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2,BBB+
Unknown,ClCCCl,BBB+
Unknown,CC12NC(Cc3ccccc31)c1ccccc12,BBB+
Unknown,CC(C)=O,BBB+
Unknown,c1ccccc1,BBB+
Unknown,CCCCO,BBB+
Unknown,CCCCCCCC,BBB+
Unknown,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,BBB+
Unknown,CCO,BBB+
Unknown,CO,BBB+
Unknown,CN1CCCC1c1cccnc1,BBB+
Unknown,N#[N+][O-],BBB+
Unknown,CCCO,BBB+
Unknown,Cc1ccccc1,BBB+
Unknown,NC(N)=O,BBB+
Unknown,CNC(C)Cc1ccccc1,BBB+
Unknown,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,BBB+
Unknown,O=C(O)COc1ccc(Cl)cc1Cl,BBB+
Unknown,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,BBB+
Unknown,Nc1c2c(nc3ccccc13)CCCC2,BBB+
Unknown,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,BBB+
Unknown,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,BBB+
Unknown,CN(C)CCC=C1c2ccccc2CCc2ccccc21,BBB+
Unknown,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,BBB+
Unknown,Cc1cc(=O)n(-c2ccccc2)n1C,BBB+
Unknown,CCC1(CC)C(=O)NC(=O)NC1=O,BBB+
Unknown,CCOC(=O)c1ccc(N)cc1,BBB+
Unknown,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,BBB+
Unknown,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,BBB+
Unknown,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,BBB+
Unknown,CC(C)(C)NCC(O)COc1ccccc1C#N,BBB+
Unknown,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,BBB+
Unknown,CCCCOC(=O)c1ccc(N)cc1,BBB+
Unknown,Cn1c(=O)c2c(ncn2C)n(C)c1=O,BBB+
Unknown,NC(=O)N1c2ccccc2C=Cc2ccccc21,BBB+
