,compound_name,canonical_smiles,BBclass
0,Unknown,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,BBB+
1,Unknown,C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2,BBB+
2,Unknown,ClCCCl,BBB+
3,Unknown,CC12NC(Cc3ccccc31)c1ccccc12,BBB+
4,Unknown,CC(C)=O,BBB+
5,Unknown,c1ccccc1,BBB+
6,Unknown,CCCCO,BBB+
7,Unknown,CCCCCCCC,BBB+
8,Unknown,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,BBB+
9,Unknown,CCO,BBB+
10,Unknown,CO,BBB+
11,Unknown,CN1CCCC1c1cccnc1,BBB+
12,Unknown,N#[N+][O-],BBB+
13,Unknown,CCCO,BBB+
14,Unknown,Cc1ccccc1,BBB+
15,Unknown,NC(N)=O,BBB+
16,Unknown,CNC(C)Cc1ccccc1,BBB+
17,Unknown,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,BBB+
18,Unknown,O=C(O)COc1ccc(Cl)cc1Cl,BBB+
19,Unknown,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,BBB+
20,Unknown,Nc1c2c(nc3ccccc13)CCCC2,BBB+
21,Unknown,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,BBB+
22,Unknown,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,BBB+
23,Unknown,CN(C)CCC=C1c2ccccc2CCc2ccccc21,BBB+
24,Unknown,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,BBB+
25,Unknown,Cc1cc(=O)n(-c2ccccc2)n1C,BBB+
26,Unknown,CCC1(CC)C(=O)NC(=O)NC1=O,BBB+
27,Unknown,CCOC(=O)c1ccc(N)cc1,BBB+
28,Unknown,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,BBB+
